Book ID,Title,Author(s),Category,Price (ETB),Cover Image,Language,Publisher,Format,Page Count,Publication Year,ISBN,Original Filename,File Path,File Size
BK-03206,Digital Design Principles and Practices (John F  Wakerly),Unknown,Electrical & Electronics Engineering Corner,,BK-03206.webp,en,,PDF,920.0,2012.0,,Digital Design Principles and Practices (John F. Wakerly).pdf,Digital Design Principles and Practices (John F. Wakerly).pdf,36.31 MB
BK-03207,"Digital Design, Global Edition, 6/e","M. Morris R. Mano, Michael D. Ciletti",Electrical & Electronics Engineering Corner,,BK-03207.webp,en,,PDF,712.0,2018.0,,"Digital Design With an Introduction to the Verilog HDL, VHDL, and SystemVerilog (M. Morris Mano, Michael D. Ciletti).pdf","Digital Design With an Introduction to the Verilog HDL, VHDL, and SystemVerilog (M. Morris Mano, Michael D. Ciletti).pdf",19.60 MB
BK-03208,"Digital Image Processing, 4e",Rafael C. Gonzalez,Electrical & Electronics Engineering Corner,,BK-03208.webp,en,,PDF,1022.0,2017.0,,"Digital Image Processing (4th edition, Global edition) (Rafael C. Gonzalez, Richard E. Woods).pdf","Digital Image Processing (4th edition, Global edition) (Rafael C. Gonzalez, Richard E. Woods).pdf",38.29 MB
BK-03209,"Digital Processing of Speech Signals (Lawrence R Rabiner, Ronald W Schafer etc )",Unknown,Electrical & Electronics Engineering Corner,,BK-03209.webp,en,,PDF,528.0,2023.0,,"Digital Processing of Speech Signals (Lawrence R Rabiner, Ronald W Schafer etc.).pdf","Digital Processing of Speech Signals (Lawrence R Rabiner, Ronald W Schafer etc.).pdf",19.37 MB
BK-03210,"Digital Signal Processing Principles, Algorithms, and Applications, Fourth Edition (John G  Proakis, Dimitris G  Manolakis)",Unknown,Electrical & Electronics Engineering Corner,,BK-03210.webp,en,,PDF,1104.0,2023.0,,"Digital Signal Processing Principles, Algorithms, and Applications, Fourth Edition (John G. Proakis, Dimitris G. Manolakis).pdf","Digital Signal Processing Principles, Algorithms, and Applications, Fourth Edition (John G. Proakis, Dimitris G. Manolakis).pdf",14.89 MB
BK-03211,"Discrete Time Signal Processing (Alan V  Oppenheim, Ronald W  Schafer)",Unknown,Electrical & Electronics Engineering Corner,,BK-03211.webp,en,,PDF,1137.0,2010.0,,"Discrete-Time Signal Processing (Alan V. Oppenheim, Ronald W. Schafer).pdf","Discrete-Time Signal Processing (Alan V. Oppenheim, Ronald W. Schafer).pdf",10.66 MB
BK-03212,"Electric machinery (A  E  Fitzgerald, Charles Kingsley Jr  etc )",Unknown,Electrical & Electronics Engineering Corner,,BK-03212.webp,en,,PDF,703.0,2006.0,,"Electric machinery (A. E. Fitzgerald, Charles Kingsley Jr. etc.).pdf","Electric machinery (A. E. Fitzgerald, Charles Kingsley Jr. etc.).pdf",16.16 MB
BK-03213,"Electric Machinery Fundamentals, 5th edition (Stephen J  Chapman)",Unknown,Electrical & Electronics Engineering Corner,,BK-03213.webp,en,,PDF,713.0,2021.0,,"Electric Machinery Fundamentals, 5th edition (Stephen J. Chapman).pdf","Electric Machinery Fundamentals, 5th edition (Stephen J. Chapman).pdf",13.99 MB
BK-03214,Electric Machines and Drives: A First Course,NED MOHAN,Electrical & Electronics Engineering Corner,,BK-03214.webp,en,,PDF,292.0,2023.0,,Electric Machines and Drives A First Course (NED MOHAN).pdf,Electric Machines and Drives A First Course (NED MOHAN).pdf,13.76 MB
BK-03215,"Electric Power Distribution System Engineering, Second Edition (Turan Gonen)",Unknown,Electrical & Electronics Engineering Corner,,BK-03215.webp,en,,PDF,858.0,2014.0,,"Electric Power Distribution System Engineering, Second Edition (Turan Gonen).pdf","Electric Power Distribution System Engineering, Second Edition (Turan Gonen).pdf",37.30 MB
BK-03216,"Electric Power Systems with Renewables Simulations Using PSSE (Mohan, Ned, Guggilam, Swaroop et alii)",Unknown,Electrical & Electronics Engineering Corner,,BK-03216.webp,en,,PDF,322.0,2023.0,,"Electric Power Systems with Renewables Simulations Using PSSE (Mohan, Ned, Guggilam, Swaroop et alii).pdf","Electric Power Systems with Renewables Simulations Using PSSE (Mohan, Ned, Guggilam, Swaroop et alii).pdf",9.61 MB
BK-03217,Elelectric Power Systems A First Course (Ned Mohan),Unknown,Electrical & Electronics Engineering Corner,,BK-03217.webp,en,,PDF,255.0,2016.0,,Elelectric Power Systems A First Course (Ned Mohan).pdf,Elelectric Power Systems A First Course (Ned Mohan).pdf,117.02 MB
BK-03218,"Error Control Coding (2nd Edition) (Shu Lin, Daniel J  Costello)",Unknown,Electrical & Electronics Engineering Corner,,BK-03218.webp,en,,PDF,1272.0,2009.0,,"Error Control Coding (2nd Edition) (Shu Lin, Daniel J. Costello).pdf","Error Control Coding (2nd Edition) (Shu Lin, Daniel J. Costello).pdf",35.85 MB
BK-03219,"Automatic Control Systems, 9th Edition - Solutions Manual","Farid Golnaraghi, Benjamin C. Kuo",Electrical & Electronics Engineering Corner,,BK-03219.webp,en,,PDF,947.0,2009.0,,"Farid Golnaraghi, Benjamin C. Kuo - Automatic Control Systems, 9th Edition - Solutions Manual (2009) - libgen.li.pdf","Farid Golnaraghi, Benjamin C. Kuo - Automatic Control Systems, 9th Edition - Solutions Manual (2009) - libgen.li.pdf",26.64 MB
BK-03220,"Fiber Optic Communication Systems, 4th Edition (Wiley Series in Microwave and Optical Engineering) (Govind P  Agrawal)",Unknown,Electrical & Electronics Engineering Corner,,BK-03220.webp,en,,PDF,630.0,2011.0,,"Fiber-Optic Communication Systems, 4th Edition (Wiley Series in Microwave and Optical Engineering) (Govind P. Agrawal).pdf","Fiber-Optic Communication Systems, 4th Edition (Wiley Series in Microwave and Optical Engineering) (Govind P. Agrawal).pdf",39.62 MB
BK-03221,outputfile,LSI,Electrical & Electronics Engineering Corner,,BK-03221.webp,en,,PDF,870.0,2019.0,,"Fields and Waves in Communication Electronics, 3ed (Simon Ramo, John R. Whinnery etc.).pdf","Fields and Waves in Communication Electronics, 3ed (Simon Ramo, John R. Whinnery etc.).pdf",58.19 MB
BK-03222,Foundations for Microwave Engineering (Robert E  Collin),Unknown,Electrical & Electronics Engineering Corner,,BK-03222.webp,en,,PDF,945.0,2007.0,,Foundations for Microwave Engineering (Robert E. Collin).pdf,Foundations for Microwave Engineering (Robert E. Collin).pdf,24.93 MB
BK-03223,"Fundamentals of Applied Electromagnetics (8th Edition) (Fawwaz T  Ulaby, Umberto Ravaioli)",Unknown,Electrical & Electronics Engineering Corner,,BK-03223.webp,en,,PDF,489.0,2022.0,,"Fundamentals of Applied Electromagnetics (8th_Edition) (Fawwaz T. Ulaby, Umberto Ravaioli).pdf","Fundamentals of Applied Electromagnetics (8th_Edition) (Fawwaz T. Ulaby, Umberto Ravaioli).pdf",29.96 MB
BK-03224,"Fundamentals 
of 
Digital Logic with Verilog Design, THIRD EDITION",Stephen Brown and Zvonko Vranesic,Electrical & Electronics Engineering Corner,,BK-03224.webp,en,,PDF,864.0,2013.0,,"Fundamentals of Digital Logic with Verilog Design, THIRD EDITION (Stephen Brown and Zvonko Vranesic).pdf","Fundamentals of Digital Logic with Verilog Design, THIRD EDITION (Stephen Brown and Zvonko Vranesic).pdf",5.66 MB
BK-03225,"Instructor's Solutions Manual for for Modern Control Systems, 12th Ed",Richard C. Dorf,Electrical & Electronics Engineering Corner,,BK-03225.webp,en,,PDF,754.0,2010.0,,"Instructors Solutions Manual for Modern Control Systems, 12th Edition (Richard C. Dorf, Robert H. Bishop).pdf","Instructors Solutions Manual for Modern Control Systems, 12th Edition (Richard C. Dorf, Robert H. Bishop).pdf",4.90 MB
BK-03226,Introduction to communication systems,"Stremler, Ferrel G",Electrical & Electronics Engineering Corner,,BK-03226.webp,en,,PDF,786.0,2022.0,,"Introduction to communication systems (Stremler, Ferrel G).pdf","Introduction to communication systems (Stremler, Ferrel G).pdf",38.26 MB
BK-03227,"Introduction to Electrodynamics, Fourth Edition (David J  Griffiths)",Unknown,Electrical & Electronics Engineering Corner,,BK-03227.webp,en,,PDF,623.0,2020.0,,"Introduction to Electrodynamics, Fourth Edition (David J. Griffiths).pdf","Introduction to Electrodynamics, Fourth Edition (David J. Griffiths).pdf",35.28 MB
BK-03228,"Linear System Theory and Design, International 3rd. edition",Chi-Tsong Chen,Electrical & Electronics Engineering Corner,,BK-03228.webp,en,,PDF,356.0,2023.0,,"Linear System Theory and Design, International 3rd. edition (Chi-Tsong Chen).pdf","Linear System Theory and Design, International 3rd. edition (Chi-Tsong Chen).pdf",16.86 MB
BK-03229,LINEAR SYSTEMS AND SIGNALS,B. P. Lathi and R. A. Green,Electrical & Electronics Engineering Corner,,BK-03229.webp,en,,PDF,1010.0,2017.0,,"Linear Systems and Signals (B. P. Lathi, Roger Green).pdf","Linear Systems and Signals (B. P. Lathi, Roger Green).pdf",23.91 MB
BK-03230,Microwave Engineering,"Pozar, David M.;Pozar, David M;",Electrical & Electronics Engineering Corner,,BK-03230.webp,en,,PDF,756.0,2011.0,,Microwave Engineering (David M. Pozar).pdf,Microwave Engineering (David M. Pozar).pdf,14.11 MB
BK-03231,Modern Digital and Analog Communication Systems,B. P. Lathi and Zhi Ding,Electrical & Electronics Engineering Corner,,BK-03231.webp,en,,PDF,1025.0,2017.0,,"Modern Digital and Analog Communication Systems (B. P. Lathi, Zhi Ding).pdf","Modern Digital and Analog Communication Systems (B. P. Lathi, Zhi Ding).pdf",26.41 MB
BK-03232,"Nathan Ida   Engineering Electromagnetics (2021, Springer) [10 1007 978 3 030 15557 5]",Unknown,Electrical & Electronics Engineering Corner,,BK-03232.webp,en,,PDF,1041.0,2020.0,,"Nathan Ida - Engineering Electromagnetics (2021, Springer) [10.1007_978-3-030-15557-5].pdf","Nathan Ida - Engineering Electromagnetics (2021, Springer) [10.1007_978-3-030-15557-5].pdf",44.34 MB
BK-03233,Nonlinear Systems (3rd Edition) (Hassan K  Khalil),Unknown,Electrical & Electronics Engineering Corner,,BK-03233.webp,en,,PDF,766.0,2011.0,,Nonlinear Systems (3rd Edition) (Hassan K. Khalil).pdf,Nonlinear Systems (3rd Edition) (Hassan K. Khalil).pdf,33.94 MB
BK-03234,"Nonlinear Systems, 3rd Edition [Solution Manual] (Hassan K  Khalil)",ET,Electrical & Electronics Engineering Corner,,BK-03234.webp,en,,PDF,241.0,2005.0,,"Nonlinear Systems, 3rd Edition [Solution Manual] (Hassan K. Khalil).pdf","Nonlinear Systems, 3rd Edition [Solution Manual] (Hassan K. Khalil).pdf",22.42 MB
BK-03235,Analysis of Electric Machinery and Drive Systems,"Paul Krause, Oleg Wasynczuk, Scott Sudhoff and Steven Pekarek",Electrical & Electronics Engineering Corner,,BK-03235.webp,en,,PDF,679.0,2013.0,,"Paul Krause, Oleg Wasynczuk, Scott Sudhoff and Steven Pekarek - Analysis of Electric Machinery and Drive Systems (2013).pdf","Paul Krause, Oleg Wasynczuk, Scott Sudhoff and Steven Pekarek - Analysis of Electric Machinery and Drive Systems (2013).pdf",17.03 MB
BK-03236,"Power System Control and Stability (Ieee Press Power Engineering Series) (Paul M  Anderson, A  A  Fouad)",Unknown,Electrical & Electronics Engineering Corner,,BK-03236.webp,en,,PDF,678.0,2010.0,,"Power System Control and Stability (Ieee Press Power Engineering Series) (Paul M. Anderson, A. A. Fouad).pdf","Power System Control and Stability (Ieee Press Power Engineering Series) (Paul M. Anderson, A. A. Fouad).pdf",14.06 MB
BK-03237,Principles of Digital Communication,"Gallager, Robert G.",Electrical & Electronics Engineering Corner,,BK-03237.webp,en,,PDF,423.0,2007.0,,Principles of Digital Communication (Robert G. Gallager).pdf,Principles of Digital Communication (Robert G. Gallager).pdf,3.96 MB
BK-03238,Principles of Power System LPSPE (VK Mehta  Rohit Mehta),D K Gupta,Electrical & Electronics Engineering Corner,,BK-03238.webp,en,,PDF,622.0,2020.0,,Principles of Power System LPSPE (VK Mehta  Rohit Mehta).pdf,Principles of Power System LPSPE (VK Mehta  Rohit Mehta).pdf,48.19 MB
BK-03239,"Scattering of electromagnetic waves  theories and applications,Leung Tsang, Jin Au Kong, Kung Hau Ding,J  Wiley (Tsang, Leung, Kong, Jin Au, Ding, Kung Hau etc )",Unknown,Electrical & Electronics Engineering Corner,,BK-03239.webp,en,,PDF,443.0,2023.0,,"Scattering of electromagnetic waves  theories and applications,Leung Tsang, Jin Au Kong, Kung-Hau Ding,J. Wiley (Tsang, Leung, Kong, Jin Au, Ding, Kung-Hau etc.).pdf","Scattering of electromagnetic waves  theories and applications,Leung Tsang, Jin Au Kong, Kung-Hau Ding,J. Wiley (Tsang, Leung, Kong, Jin Au, Ding, Kung-Hau etc.).pdf",73.40 MB
BK-03240,RF Microelectronics,Behzad Razavi,Electrical & Electronics Engineering Corner,,BK-03240.webp,en,,PDF,345.0,2003.0,,RF Microelectronics (Behzad Razavi).pdf,RF Microelectronics (Behzad Razavi).pdf,37.63 MB
BK-03241,Signals & systems,"Oppenheim, Alan V., 1937-",Electrical & Electronics Engineering Corner,,BK-03241.webp,en,,PDF,996.0,2022.0,,"Signals  systems (Oppenheim, Alan V., 1937-, Willsky etc.).pdf","Signals  systems (Oppenheim, Alan V., 1937-, Willsky etc.).pdf",45.45 MB
BK-03242,Signals And Systems Continuous And Discrete,Rodger E. Ziemer,Electrical & Electronics Engineering Corner,,BK-03242.webp,en,,PDF,639.0,2020.0,,Signals And Systems Continuous And Discrete (Rodger E. Ziemer).pdf,Signals And Systems Continuous And Discrete (Rodger E. Ziemer).pdf,45.96 MB
BK-03243,E:\stasign2\sta2_100.PDF,Administrator,Electrical & Electronics Engineering Corner,,BK-03243.webp,en,,PDF,622.0,2000.0,,Statistical Digital Signal Processing and Modeling (Monson H. Hayes).pdf,Statistical Digital Signal Processing and Modeling (Monson H. Hayes).pdf,18.67 MB
BK-03244,"Understanding Digital Signal Processing, Second Edition (Richard G  Lyons)",Unknown,Electrical & Electronics Engineering Corner,,BK-03244.webp,en,,PDF,684.0,2006.0,,"Understanding Digital Signal Processing, Second Edition (Richard G. Lyons).pdf","Understanding Digital Signal Processing, Second Edition (Richard G. Lyons).pdf",9.29 MB
BK-03245,Microsoft Word - fist.doc,Administrator,Electrical & Electronics Engineering Corner,,BK-03245.webp,en,,PDF,318.0,2012.0,,"Vector Control and Dynamics of AC Drives (D.W. Novotny, T.A. Lipo).pdf","Vector Control and Dynamics of AC Drives (D.W. Novotny, T.A. Lipo).pdf",19.71 MB
BK-03246,Vector control of AC drives ,"Boldea, I",Electrical & Electronics Engineering Corner,,BK-03246.webp,en,,PDF,264.0,2023.0,,"Vector control of AC drives (Boldea, I).pdf","Vector control of AC drives (Boldea, I).pdf",8.76 MB
BK-03247,ABC Amber CHM Converter http://www.thebeatlesforever.com/processtext/abcchm.html,ABC Amber CHM Converter http://www.thebeatlesforever.com/processtext/abcchm.html,Electrical & Electronics Engineering Corner,,BK-03247.webp,en,,PDF,586.0,2003.0,,Verilog HDL - A Guide To Digital Design And Synthesis (Samir Palnitkar).pdf,Verilog HDL - A Guide To Digital Design And Synthesis (Samir Palnitkar).pdf,31.18 MB
BK-03248,"Engineering Electromagnetics, 9th Edition","William H. Hayt, Jr. and John A. Buck",Electrical & Electronics Engineering Corner,,BK-03248.webp,en,,PDF,605.0,0.0,,"William H. Hayt, Jr. and John A. Buck - Engineering Electromagnetics (2018, McGraw-Hill Education).pdf","William H. Hayt, Jr. and John A. Buck - Engineering Electromagnetics (2018, McGraw-Hill Education).pdf",7.45 MB
BK-03249,Wireless Communications: Principles and Practice (2nd Edition),Theodore S. Rappaport,Electrical & Electronics Engineering Corner,,BK-03249.webp,en,,PDF,640.0,2006.0,,Wireless Communications Principles and Practice (2nd Edition) (Theodore S. Rappaport).pdf,Wireless Communications Principles and Practice (2nd Edition) (Theodore S. Rappaport).pdf,19.85 MB
BK-03250,Advanced electrical installation work ,Trevor Linsley,Electrical & Electronics Engineering Corner,,BK-03250.webp,en,,PDF,441.0,2016.0,,"Advanced_Electrical_Installation_Work,_Level_3,_City_and_Guilds.pdf","Advanced_Electrical_Installation_Work,_Level_3,_City_and_Guilds.pdf",8.26 MB
BK-03251,AETA 2018 Recent Advances in Electrical Engineering and Related,0002624,Electrical & Electronics Engineering Corner,,BK-03251.webp,en,,PDF,998.0,2019.0,,AETA_2018_Recent_Advances_in_Electrical_Engineering_and_Related.pdf,AETA_2018_Recent_Advances_in_Electrical_Engineering_and_Related.pdf,30.02 MB
BK-03252,491260_1_En_Print.indd,0009172,Electrical & Electronics Engineering Corner,,BK-03252.webp,en,,PDF,750.0,2020.0,,AETA_2019_Recent_Advances_in_Electrical_Engineering_and_Related.pdf,AETA_2019_Recent_Advances_in_Electrical_Engineering_and_Related.pdf,23.41 MB
BK-03253,Analysis and Design of Electrical Power Systems,Ismail Kasikci,Electrical & Electronics Engineering Corner,,BK-03253.webp,en,,PDF,849.0,2022.0,,Analysis_and_Design_of_Electrical_Power_Systems_A_Practical_Guide.pdf,Analysis_and_Design_of_Electrical_Power_Systems_A_Practical_Guide.pdf,64.58 MB
BK-03254,Coaxial Electrical Circuits for Interference Free Measurements,Unknown,Electrical & Electronics Engineering Corner,,BK-03254.webp,en,,PDF,351.0,,,Coaxial_Electrical_Circuits_for_Interference_Free_Measurements.pdf,Coaxial_Electrical_Circuits_for_Interference_Free_Measurements.pdf,2.17 MB
BK-03255,Condition Monitoring of Rotating Electrical Machines,Pever Tavner,Electrical & Electronics Engineering Corner,,BK-03255.webp,en,,PDF,306.0,2008.0,,Condition Monitoring of Rotating Electrical Machines.pdf,Condition Monitoring of Rotating Electrical Machines.pdf,2.12 MB
BK-03256,Control Circuits in Power Electronics,Miguel Castilla,Electrical & Electronics Engineering Corner,,BK-03256.webp,en,,PDF,457.0,2016.0,,Control_Circuits_in_Power_Electronics_Practical_Issues_in_Design.pdf,Control_Circuits_in_Power_Electronics_Practical_Issues_in_Design.pdf,8.28 MB
BK-03257,Design and Development of Multi Lane Smart Electromechanical Actuators,Unknown,Electrical & Electronics Engineering Corner,,BK-03257.webp,en,,PDF,124.0,2014.0,,Design_and_Development_of_Multi_Lane_Smart_Electromechanical_Actuators.pdf,Design_and_Development_of_Multi_Lane_Smart_Electromechanical_Actuators.pdf,2.09 MB
BK-03258,Electrical Fundamentals for Aircraft Maintenance,Aircraft Technical Book Co.,Electrical & Electronics Engineering Corner,,BK-03258.webp,en,,PDF,238.0,2017.0,,EASA_Module_3_Electrical_Fundamentals_Aircraft_Maintenance_Technician.pdf,EASA_Module_3_Electrical_Fundamentals_Aircraft_Maintenance_Technician.pdf,65.41 MB
BK-03259,EASA Mod04 B2 Electronic Fundamentals,Aircraft Technical Book Co LLC,Electrical & Electronics Engineering Corner,,BK-03259.webp,en,,PDF,124.0,2020.0,,EASA_Module_4_Electronic_Fundamentals_Aircraft_Maintenance_Technician.pdf,EASA_Module_4_Electronic_Fundamentals_Aircraft_Maintenance_Technician.pdf,16.96 MB
BK-03260,Economic Evaluation of Projects in the Electricity Supply Industry,Unknown,Electrical & Electronics Engineering Corner,,BK-03260.webp,en,,PDF,306.0,2014.0,,Economic_Evaluation_of_Projects_in_the_Electricity_Supply_Industry.pdf,Economic_Evaluation_of_Projects_in_the_Electricity_Supply_Industry.pdf,1.72 MB
BK-03261,"Electric Fuses, 3rd Ed. ",A. Wright and P.G. Newbery,Electrical & Electronics Engineering Corner,,BK-03261.webp,en,,PDF,266.0,2009.0,,Electric Fuses.pdf,Electric Fuses.pdf,1.74 MB
BK-03262,"Electric Motor Control, 9th Edition",Unknown,Electrical & Electronics Engineering Corner,,BK-03262.webp,en,,PDF,473.0,2011.0,,"Electric Motor Control, 9th Edition.pdf","Electric Motor Control, 9th Edition.pdf",8.80 MB
BK-03263,"Electric Power Generation, Transmission, and Distribution",Unknown,Electrical & Electronics Engineering Corner,,BK-03263.webp,en,,PDF,768.0,2013.0,,"Electric Power Generation, Transmission, and Distribution.pdf","Electric Power Generation, Transmission, and Distribution.pdf",34.42 MB
BK-03264,Electric Power Transformer Engineering,Unknown,Electrical & Electronics Engineering Corner,,BK-03264.webp,en,,PDF,676.0,2013.0,,Electric Power Transformer Engineering.pdf,Electric Power Transformer Engineering.pdf,14.36 MB
BK-03265,Electrical and Electronics Measurements and Instrumentation,Prithwiraj Purkait & Budhaditya Biswas & Santanu Chiranjib Koley Das,Electrical & Electronics Engineering Corner,,BK-03265.webp,en,,PDF,651.0,2015.0,,Electrical and Electronics Measurements and Instrumentation.pdf,Electrical and Electronics Measurements and Instrumentation.pdf,10.20 MB
BK-03266,"Electrical Craft Principles, Vol. 1, 5th Edition",John F. Whitfield,Electrical & Electronics Engineering Corner,,BK-03266.webp,en,,PDF,342.0,2009.0,,Electrical Craft Principles Volume 1.pdf,Electrical Craft Principles Volume 1.pdf,1.24 MB
BK-03267,"Electrical Craft Principles, 5th Edition, Volume 2",John F. Whitfield,Electrical & Electronics Engineering Corner,,BK-03267.webp,en,,PDF,429.0,2009.0,,Electrical Craft Principles Volume 2.pdf,Electrical Craft Principles Volume 2.pdf,3.10 MB
BK-03268,Electrical Installation Calculations: Basic 9th Ed,"Kitcher, Christopher",Electrical & Electronics Engineering Corner,,BK-03268.webp,en,,PDF,222.0,2013.0,,"Electrical Installation Calculations Basic, Level 2.pdf","Electrical Installation Calculations Basic, Level 2.pdf",0.65 MB
BK-03269,electrical installations in Hazardous Areas,Alan McMillan,Electrical & Electronics Engineering Corner,,BK-03269.webp,en,,PDF,678.0,2003.0,,Electrical Installations in Hazardous Areas.pdf,Electrical Installations in Hazardous Areas.pdf,10.09 MB
BK-03270,"Electrical Machines with MATLAB, Second Edition",_x0010_4<8=8AB@0B>@,Electrical & Electronics Engineering Corner,,BK-03270.webp,en,,PDF,649.0,2015.0,,"Electrical Machines with MATLAB, Second Edition.pdf","Electrical Machines with MATLAB, Second Edition.pdf",55.42 MB
BK-03271,Electrical Operation Of Electrostatic Precipitators,Unknown,Electrical & Electronics Engineering Corner,,BK-03271.webp,en,,PDF,285.0,2007.0,,Electrical Operation Of Electrostatic Precipitators.pdf,Electrical Operation Of Electrostatic Precipitators.pdf,3.93 MB
BK-03272,007150818X.pdf,Admin,Electrical & Electronics Engineering Corner,,BK-03272.webp,en,,PDF,292.0,2009.0,,Electrical Safety of Low-Voltage Systems.pdf,Electrical Safety of Low-Voltage Systems.pdf,7.21 MB
BK-03273,Electrical Steels for rotating machines,Philip Beckley,Electrical & Electronics Engineering Corner,,BK-03273.webp,en,,PDF,334.0,2010.0,,Electrical Steels for Rotating Machines.pdf,Electrical Steels for Rotating Machines.pdf,3.95 MB
BK-03274,Electrical Wiring Industrial,Unknown,Electrical & Electronics Engineering Corner,,BK-03274.webp,en,,PDF,390.0,2013.0,,Electrical Wiring Industrial.pdf,Electrical Wiring Industrial.pdf,16.11 MB
BK-03275,"Electrical and Electronic Devices, Circuits, and Materials","Tripathi, Suman Lata; Alvi, Parvej Ahmad; Subramaniam, Umashankar",Electrical & Electronics Engineering Corner,,BK-03275.webp,en,,PDF,614.0,2021.0,,"Electrical_and_Electronic_Devices,_Circuits,_and_Materials_Technological.pdf","Electrical_and_Electronic_Devices,_Circuits,_and_Materials_Technological.pdf",7.82 MB
BK-03276,"Electrical Connectors Design, Manufacture, Test and Selection",Unknown,Electrical & Electronics Engineering Corner,,BK-03276.webp,en,,PDF,366.0,2020.0,,"Electrical_Connectors_Design,_Manufacture,_Test_and_Selection.pdf","Electrical_Connectors_Design,_Manufacture,_Test_and_Selection.pdf",7.98 MB
BK-03277,Electrical Equipment Handbook Troubleshooting and Maintenance,Unknown,Electrical & Electronics Engineering Corner,,BK-03277.webp,en,,PDF,498.0,2005.0,,Electrical_Equipment_Handbook_Troubleshooting_and_Maintenance.pdf,Electrical_Equipment_Handbook_Troubleshooting_and_Maintenance.pdf,3.87 MB
BK-03278,"ELECTRICITY 1, 9th ed.",Thomas Kubala,Electrical & Electronics Engineering Corner,,BK-03278.webp,en,,PDF,191.0,2008.0,,"Electricity 1 - Devices, Circuits and Materials.pdf","Electricity 1 - Devices, Circuits and Materials.pdf",2.64 MB
BK-03279,Electricity 3: Power Generation and Delivery,Keljik,Electrical & Electronics Engineering Corner,,BK-03279.webp,en,,PDF,318.0,2012.0,,Electricity 3 - Power Generation and Delivery.pdf,Electricity 3 - Power Generation and Delivery.pdf,2.64 MB
BK-03280,"Electricity 4: AC/DC Motors, Controls, and Maintenance, 10th ed.",Jeffrey J. Keljik,Electrical & Electronics Engineering Corner,,BK-03280.webp,en,,PDF,418.0,2012.0,,"Electricity 4 - AC & DC Motors, Controls and Maintenance.pdf","Electricity 4 - AC & DC Motors, Controls and Maintenance.pdf",7.44 MB
BK-03281,Electricity and Controls for HVAC-R,Stephen L. Herman,Electrical & Electronics Engineering Corner,,BK-03281.webp,en,,PDF,602.0,2009.0,,"Electricity and Controls for HVAC-R, Sixth Edition.pdf","Electricity and Controls for HVAC-R, Sixth Edition.pdf",54.33 MB
BK-03282,Electricity and Electronics for HVAC,Unknown,Electrical & Electronics Engineering Corner,,BK-03282.webp,en,,PDF,405.0,,,Electricity and Electronics for HVAC.pdf,Electricity and Electronics for HVAC.pdf,2.77 MB
BK-03283,Electromagnetics for Electrical Machines,Unknown,Electrical & Electronics Engineering Corner,,BK-03283.webp,en,,PDF,434.0,2015.0,,Electromagnetics for Electrical Machines.pdf,Electromagnetics for Electrical Machines.pdf,4.41 MB
BK-03284,EMC and Functional Safety of Automotive Electronics,Unknown,Electrical & Electronics Engineering Corner,,BK-03284.webp,en,,PDF,264.0,2018.0,,EMC and Functional Safety of Automotive Electronics.pdf,EMC and Functional Safety of Automotive Electronics.pdf,2.01 MB
BK-03285,Energy Systems for Electric and Hybrid Vehicles,K.T. Chau,Electrical & Electronics Engineering Corner,,BK-03285.webp,en,,PDF,517.0,2016.0,,Energy Systems for Electric and Hybrid Vehicles.pdf,Energy Systems for Electric and Hybrid Vehicles.pdf,9.09 MB
BK-03286,Electrical Power Cable Engineering (3rd Edition),"Thue, William A.(Editor)",Electrical & Electronics Engineering Corner,,BK-03286.webp,en,,PDF,451.0,2011.0,,Electrical Power Cable Engineering.pdf,Electrical Power Cable Engineering.pdf,5.21 MB
BK-03287,Fundamentals of Electrical Circuits,Alexander,Electrical & Electronics Engineering Corner,,BK-03287.webp,en,,PDF,2909.0,2020.0,,Fundamentals of Electric Circuits (7th Edition).pdf,Fundamentals of Electric Circuits (7th Edition).pdf,197.65 MB
BK-03288,Fundamentals of Electromagnetic Levitation Engineering Sustainability,Unknown,Electrical & Electronics Engineering Corner,,BK-03288.webp,en,,PDF,248.0,2013.0,,Fundamentals_of_Electromagnetic_Levitation_Engineering_Sustainability.pdf,Fundamentals_of_Electromagnetic_Levitation_Engineering_Sustainability.pdf,4.63 MB
BK-03289,"GN5 Protection Against Electric Shock, inc 2001 Amd No 1",(c) IEE - PAB / Ian Reeve,Electrical & Electronics Engineering Corner,,BK-03289.webp,en,,PDF,114.0,2003.0,,Guidance Note 5 - Protection Against Electric Shock by IEE.pdf,Guidance Note 5 - Protection Against Electric Shock by IEE.pdf,0.34 MB
BK-03290,Guide to Electric Power Generation,Unknown,Electrical & Electronics Engineering Corner,,BK-03290.webp,en,,PDF,286.0,2007.0,,Guide to Electric Power Generation.pdf,Guide to Electric Power Generation.pdf,2.51 MB
BK-03291,Handbook of Electric Power Calculations,Unknown,Electrical & Electronics Engineering Corner,,BK-03291.webp,en,,PDF,530.0,,,Handbook of Electric Power Calculations.pdf,Handbook of Electric Power Calculations.pdf,3.41 MB
BK-03292,Heavy Duty Electric Vehicles From Concept to Reality,Shashank Arora,Electrical & Electronics Engineering Corner,,BK-03292.webp,en,,PDF,244.0,2021.0,,Heavy-Duty Electric Vehicles From Concept to Reality.pdf,Heavy-Duty Electric Vehicles From Concept to Reality.pdf,2.38 MB
